city,x,y
Adana,-6.0,-119.0
Adıyaman,178.0,-72.0
Afyonkarahisar,-301.0,16.0
Ağrı,458.0,125.0
Aksaray,-107.0,-33.0
Amasya,10.0,193.0
Ankara,-186.0,123.0
Antalya,-322.0,-144.0
Ardahan,440.0,255.0
Artvin,381.0,252.0
Aydın,-480.0,-65.0
Balıkesir,-473.0,109.0
Bartın,-180.0,276.0
Batman,371.0,-54.0
Bayburt,283.0,160.0
Bilecik,-329.0,144.0
Bingöl,313.0,44.0
Bitlis,419.0,5.0
Bolu,-237.0,177.0
Burdur,-341.0,-100.0
Bursa,-405.0,139.0
Çanakkale,-548.0,157.0
Çankırı,-137.0,189.0
Çorum,-56.0,184.0
Denizli,-398.0,-71.0
Diyarbakır,285.0,-32.0
Düzce,-260.0,201.0
Edirne,-528.0,295.0
Elazığ,236.0,4.0
Erzincan,217.0,108.0
Erzurum,353.0,142.0
Eskişehir,-284.0,99.0
Gaziantep,119.0,-136.0
Giresun,184.0,191.0
Gümüşhane,229.0,174.0
Hakkari,539.0,-66.0
Hatay,53.0,-205.0
Iğdır,513.0,155.0
Isparta,-294.0,-55.0
Istanbul,-408.0,240.0
Izmir,-517.0,-8.0
Kahramanmaraş,94.0,-81.0
Karabük,-182.0,228.0
Karaman,-146.0,-138.0
Kars,464.0,192.0
Kastamonu,-121.0,270.0
Kayseri,5.0,3.0
Kilis,109.0,-163.0
Kırıkkale,-119.0,113.0
Kırklareli,-488.0,292.0
Kırşehir,-92.0,65.0
Kocaeli,-345.0,210.0
Konya,-202.0,-56.0
Kütahya,-378.0,67.0
Malatya,156.0,-2.0
Manisa,-471.0,31.0
Mardin,331.0,-107.0
Mersin,-106.0,-175.0
Muğla,-485.0,-118.0
Muş,383.0,50.0
Nevşehir,-53.0,7.0
Niğde,-55.0,-66.0
Ordu,119.0,207.0
Osmaniye,47.0,-124.0
Rize,320.0,228.0
Sakarya,-302.0,215.0
Samsun,26.0,235.0
Şanlıurfa,220.0,-126.0
Siirt,411.0,-41.0
Sinop,-30.0,281.0
Sivas,98.0,85.0
Şırnak,440.0,-78.0
Tekirdağ,-494.0,240.0
Tokat,62.0,159.0
Trabzon,255.0,213.0
Tunceli,242.0,60.0
Uşak,-393.0,-0.0
Van,516.0,17.0
Yalova,-393.0,184.0
Yozgat,-15.0,93.0
Zonguldak,-232.0,244.0
